"Y";"C";"IRRRE";"IRRRI";"VARIABLE_CATEGORY";"UNITS";"value";"Scenario"
"2020";"SERBIA";"RS";"BA";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"MALTA";"MT";"IT";"EXOGENOUS";"GW";0.2;"GH2E"
"2025";"NORWAY";"NO1";"NO2";"EXOGENOUS";"GW";2.2;"GH2E"
"2025";"NORWAY";"NO1";"NO3";"EXOGENOUS";"GW";0.5;"GH2E"
"2025";"NORWAY";"NO1";"NO5";"EXOGENOUS";"GW";0.6;"GH2E"
"2025";"NORWAY";"NO1";"SE3";"EXOGENOUS";"GW";2.145;"GH2E"
"2025";"NORWAY";"NO2";"DK1";"EXOGENOUS";"GW";1.632;"GH2E"
"2025";"NORWAY";"NO2";"DE4-N";"EXOGENOUS";"GW";1.4;"GH2E"
"2025";"NORWAY";"NO2";"NL";"EXOGENOUS";"GW";0.7;"GH2E"
"2025";"NORWAY";"NO2";"NO1";"EXOGENOUS";"GW";3.5;"GH2E"
"2025";"NORWAY";"NO2";"NO5";"EXOGENOUS";"GW";1.5;"GH2E"
"2025";"NORWAY";"NO2";"UK";"EXOGENOUS";"GW";1.4;"GH2E"
"2025";"NORWAY";"NO3";"NO1";"EXOGENOUS";"GW";0.5;"GH2E"
"2025";"NORWAY";"NO3";"NO4";"EXOGENOUS";"GW";0.4;"GH2E"
"2025";"NORWAY";"NO3";"NO5";"EXOGENOUS";"GW";0.9;"GH2E"
"2025";"NORWAY";"NO3";"SE2";"EXOGENOUS";"GW";0.6;"GH2E"
"2025";"NORWAY";"NO4";"NO3";"EXOGENOUS";"GW";1.2;"GH2E"
"2025";"NORWAY";"NO4";"SE1";"EXOGENOUS";"GW";0.7;"GH2E"
"2025";"NORWAY";"NO4";"SE2";"EXOGENOUS";"GW";0.25;"GH2E"
"2025";"NORWAY";"NO5";"NO1";"EXOGENOUS";"GW";3.9;"GH2E"
"2025";"NORWAY";"NO5";"NO2";"EXOGENOUS";"GW";1.6;"GH2E"
"2025";"NORWAY";"NO5";"NO3";"EXOGENOUS";"GW";0.9;"GH2E"
"2025";"NORWAY";"NO5";"UK";"EXOGENOUS";"GW";1.4;"GH2E"
"2025";"DENMARK";"DK1";"DK2";"EXOGENOUS";"GW";0.59;"GH2E"
"2025";"DENMARK";"DK1";"DE4-N";"EXOGENOUS";"GW";3.02;"GH2E"
"2025";"DENMARK";"DK1";"NL";"EXOGENOUS";"GW";0.7;"GH2E"
"2025";"DENMARK";"DK1";"NO2";"EXOGENOUS";"GW";1.632;"GH2E"
"2025";"DENMARK";"DK1";"SE3";"EXOGENOUS";"GW";0.74;"GH2E"
"2025";"DENMARK";"DK1";"UK";"EXOGENOUS";"GW";1.4;"GH2E"
"2025";"DENMARK";"DK2";"DK1";"EXOGENOUS";"GW";0.6;"GH2E"
"2025";"DENMARK";"DK2";"DE4-E";"EXOGENOUS";"GW";0.985;"GH2E"
"2025";"DENMARK";"DK2";"SE4";"EXOGENOUS";"GW";1.7;"GH2E"
"2025";"FINLAND";"FIN";"SE1";"EXOGENOUS";"GW";2;"GH2E"
"2025";"FINLAND";"FIN";"SE3";"EXOGENOUS";"GW";1.2;"GH2E"
"2025";"FINLAND";"FIN";"EE";"EXOGENOUS";"GW";1.016;"GH2E"
"2025";"GERMANY";"DE4-E";"DK2";"EXOGENOUS";"GW";1;"GH2E"
"2025";"GERMANY";"DE4-E";"DE4-N";"EXOGENOUS";"GW";3.01;"GH2E"
"2025";"GERMANY";"DE4-E";"DE4-S";"EXOGENOUS";"GW";3.01;"GH2E"
"2025";"GERMANY";"DE4-E";"DE4-W";"EXOGENOUS";"GW";6.02;"GH2E"
"2025";"GERMANY";"DE4-E";"PL";"EXOGENOUS";"GW";2;"GH2E"
"2025";"GERMANY";"DE4-E";"CZ";"EXOGENOUS";"GW";0.75;"GH2E"
"2025";"GERMANY";"DE4-N";"DK1";"EXOGENOUS";"GW";3;"GH2E"
"2025";"GERMANY";"DE4-N";"DE4-E";"EXOGENOUS";"GW";3.01;"GH2E"
"2025";"GERMANY";"DE4-N";"DE4-W";"EXOGENOUS";"GW";8.634;"GH2E"
"2025";"GERMANY";"DE4-N";"NO2";"EXOGENOUS";"GW";1.4;"GH2E"
"2025";"GERMANY";"DE4-N";"SE4";"EXOGENOUS";"GW";0.6;"GH2E"
"2025";"GERMANY";"DE4-S";"DE4-E";"EXOGENOUS";"GW";3.01;"GH2E"
"2025";"GERMANY";"DE4-S";"DE4-W";"EXOGENOUS";"GW";14.416;"GH2E"
"2025";"GERMANY";"DE4-S";"FR";"EXOGENOUS";"GW";2.3;"GH2E"
"2025";"GERMANY";"DE4-S";"CH";"EXOGENOUS";"GW";2.7;"GH2E"
"2025";"GERMANY";"DE4-S";"AT";"EXOGENOUS";"GW";5;"GH2E"
"2025";"GERMANY";"DE4-S";"CZ";"EXOGENOUS";"GW";0.75;"GH2E"
"2025";"GERMANY";"DE4-W";"DE4-E";"EXOGENOUS";"GW";6.02;"GH2E"
"2025";"GERMANY";"DE4-W";"DE4-N";"EXOGENOUS";"GW";8.634;"GH2E"
"2025";"GERMANY";"DE4-W";"DE4-S";"EXOGENOUS";"GW";14.416;"GH2E"
"2025";"GERMANY";"DE4-W";"NL";"EXOGENOUS";"GW";4.25;"GH2E"
"2025";"GERMANY";"DE4-W";"UK";"EXOGENOUS";"GW";1.4;"GH2E"
"2025";"GERMANY";"DE4-W";"BE";"EXOGENOUS";"GW";1;"GH2E"
"2025";"GERMANY";"DE4-W";"LU";"EXOGENOUS";"GW";2.3;"GH2E"
"2025";"NETHERLANDS";"NL";"DK1";"EXOGENOUS";"GW";0.7;"GH2E"
"2025";"NETHERLANDS";"NL";"DE4-W";"EXOGENOUS";"GW";4.25;"GH2E"
"2025";"NETHERLANDS";"NL";"NO2";"EXOGENOUS";"GW";0.7;"GH2E"
"2025";"NETHERLANDS";"NL";"UK";"EXOGENOUS";"GW";1;"GH2E"
"2025";"NETHERLANDS";"NL";"BE";"EXOGENOUS";"GW";3.4;"GH2E"
"2025";"SWEDEN";"SE1";"FIN";"EXOGENOUS";"GW";2;"GH2E"
"2025";"SWEDEN";"SE1";"NO4";"EXOGENOUS";"GW";0.6;"GH2E"
"2025";"SWEDEN";"SE1";"SE2";"EXOGENOUS";"GW";3.3;"GH2E"
"2025";"SWEDEN";"SE2";"NO3";"EXOGENOUS";"GW";1;"GH2E"
"2025";"SWEDEN";"SE2";"NO4";"EXOGENOUS";"GW";0.3;"GH2E"
"2025";"SWEDEN";"SE2";"SE1";"EXOGENOUS";"GW";3.3;"GH2E"
"2025";"SWEDEN";"SE2";"SE3";"EXOGENOUS";"GW";7.8;"GH2E"
"2025";"SWEDEN";"SE3";"DK1";"EXOGENOUS";"GW";0.68;"GH2E"
"2025";"SWEDEN";"SE3";"FIN";"EXOGENOUS";"GW";1.2;"GH2E"
"2025";"SWEDEN";"SE3";"NO1";"EXOGENOUS";"GW";2.095;"GH2E"
"2025";"SWEDEN";"SE3";"SE2";"EXOGENOUS";"GW";7.8;"GH2E"
"2025";"SWEDEN";"SE3";"SE4";"EXOGENOUS";"GW";6.5;"GH2E"
"2025";"SWEDEN";"SE4";"DK2";"EXOGENOUS";"GW";1.3;"GH2E"
"2025";"SWEDEN";"SE4";"DE4-N";"EXOGENOUS";"GW";0.6;"GH2E"
"2025";"SWEDEN";"SE4";"SE3";"EXOGENOUS";"GW";3.2;"GH2E"
"2025";"SWEDEN";"SE4";"LT";"EXOGENOUS";"GW";0.7;"GH2E"
"2025";"SWEDEN";"SE4";"PL";"EXOGENOUS";"GW";0.6;"GH2E"
"2025";"UNITED_KINGDOM";"UK";"DK1";"EXOGENOUS";"GW";1.4;"GH2E"
"2025";"UNITED_KINGDOM";"UK";"DE4-W";"EXOGENOUS";"GW";1.4;"GH2E"
"2025";"UNITED_KINGDOM";"UK";"NL";"EXOGENOUS";"GW";1;"GH2E"
"2025";"UNITED_KINGDOM";"UK";"NO2";"EXOGENOUS";"GW";1.4;"GH2E"
"2025";"UNITED_KINGDOM";"UK";"NO5";"EXOGENOUS";"GW";1.4;"GH2E"
"2025";"UNITED_KINGDOM";"UK";"BE";"EXOGENOUS";"GW";1;"GH2E"
"2025";"UNITED_KINGDOM";"UK";"FR";"EXOGENOUS";"GW";6.8;"GH2E"
"2025";"UNITED_KINGDOM";"UK";"IE";"EXOGENOUS";"GW";1.45;"GH2E"
"2025";"ESTONIA";"EE";"FIN";"EXOGENOUS";"GW";1.016;"GH2E"
"2025";"ESTONIA";"EE";"LV";"EXOGENOUS";"GW";1.4;"GH2E"
"2025";"LATVIA";"LV";"EE";"EXOGENOUS";"GW";1.379;"GH2E"
"2025";"LATVIA";"LV";"LT";"EXOGENOUS";"GW";1.5;"GH2E"
"2025";"LITHUANIA";"LT";"SE4";"EXOGENOUS";"GW";0.7;"GH2E"
"2025";"LITHUANIA";"LT";"LV";"EXOGENOUS";"GW";1.2;"GH2E"
"2025";"LITHUANIA";"LT";"PL";"EXOGENOUS";"GW";1;"GH2E"
"2025";"POLAND";"PL";"DE4-E";"EXOGENOUS";"GW";3;"GH2E"
"2025";"POLAND";"PL";"SE4";"EXOGENOUS";"GW";0.6;"GH2E"
"2025";"POLAND";"PL";"LT";"EXOGENOUS";"GW";1;"GH2E"
"2025";"POLAND";"PL";"CZ";"EXOGENOUS";"GW";0.8;"GH2E"
"2025";"POLAND";"PL";"SK";"EXOGENOUS";"GW";0.99;"GH2E"
"2025";"BELGIUM";"BE";"DE4-W";"EXOGENOUS";"GW";1;"GH2E"
"2025";"BELGIUM";"BE";"NL";"EXOGENOUS";"GW";3.4;"GH2E"
"2025";"BELGIUM";"BE";"UK";"EXOGENOUS";"GW";1;"GH2E"
"2025";"BELGIUM";"BE";"FR";"EXOGENOUS";"GW";2.8;"GH2E"
"2025";"BELGIUM";"BE";"LU";"EXOGENOUS";"GW";0.68;"GH2E"
"2025";"FRANCE";"FR";"DE4-S";"EXOGENOUS";"GW";1.8;"GH2E"
"2025";"FRANCE";"FR";"UK";"EXOGENOUS";"GW";6.8;"GH2E"
"2025";"FRANCE";"FR";"BE";"EXOGENOUS";"GW";4.3;"GH2E"
"2025";"FRANCE";"FR";"IT";"EXOGENOUS";"GW";4.4;"GH2E"
"2025";"FRANCE";"FR";"CH";"EXOGENOUS";"GW";3.15;"GH2E"
"2025";"FRANCE";"FR";"ES";"EXOGENOUS";"GW";2.6;"GH2E"
